Company,Position
T & M Services Pvt Ltd.,Executive-Talent Acquisition
4teGroup,Researcher
Evidation,Lead SDET
Sutherland,Client Partner & Director - Digital Engineering Services  
GlobalLogic,QA Engineer
Personalit,Company Owner
Yello.co,Senior Test Engineer II / Team Lead
Streamily,Talent Relations Specialist
Candidly,Business Development
Gregory Laka & Company,Recruiter
Confidential Company,Head Keeper - Exotic Stock
Kemper,Senior Corporate Functions Recruiter
JPMorgan Chase & Co.,UAT Analyst
Microsoft,Senior Product Designer
Deel,Team Lead
,
General Motors,Talent Acquisition Partner
Stealth AI Startup,Talent Advisor
New York Habitat,Photo Editor
Wipfli,Quality Assurance Architect
Ceron Technologies,Project Manager
hubmee,Founder
SoftServe,Global Talent Operations Business Partner
Shiba Inu,Engineering Manager
,
BCforward,Recruitment Team Lead
UChicago Medicine AdventHealth,Intensive Care Nurse
IT STEP University | ІТ СТЕП Університет,Lecturer at IT Step University
,
,
Deloitte,Sr Manager Product & Experience
Ryerson,SAP SD/LE Business Analyst
VUX World,Marketing Lead
Perchwell,Staff SDET
Rebbix,Co-Founder
BMO,Quality Assurance Engineer
,
eToro,Team Leader
GCI Incorporated,Sr. Intelligence Recruiter 
Proposify,Full Stack Engineer
Herbnvision Wellness,Herbalist
SMS International Shore Operations,Director - Human Resources and Administation
ClickFunnels,VP of Partnerships and Strategic Initiatives
EPAM Systems,"Lead Recruiter, Executive hiring"
SoftServe,Program Manager
ASK Consulting,Manager - Client Services
Ace Hardware Corporation,Quality Engineering Manager
Kapowai,Front-end Team Lead
TPS Worldwide,AVP Quality Engineering
devabit,Talent Acquisition Manager
LSmoke,Creative Director
SOFTSKY,Chief Technology Officer
"Softjourn, Inc",Scrum Master
samaritan,Design Lead
Uklon,Engineering Manager
SoftServe,Senior User Experience Designer
DOE Media,Founder & CEO
IODEV,Co-Founder & CEO
TaskRabbit,"Director, People Operations"
Bond Web Services LLC,Software Web Developer
Vitaliy Turovskyy Photography,Photographer
Arbitus Accounting,Accounting Manager
DF Sailing Sweden,Chairman of the Board
Trading Technologies,Support Engineer
Freelance,Self Employed
More Retail Private Limited,"General Manager | Head Total Rewards, Payroll & HR Shared Services"
GRAITEC GROUP,"Solution Sales Executive, Simulate North America"
"School Tool Box, LLC",Sales Associate
Jacobs & Stone Multichannel Marketing Communications Certificate Program at DePaul Universtiy,Sponsor
Self Inspection,Technology Executive
"Peterman Brothers Heating, Cooling & Plumbing",Social Media & Community Engagement Coordinator
ViDO.agency,Chief Executive Officer
Ukrainian Canadian Congress BC Provincial Council	,President
Samantha Lauren Photographie,Professional Photographer
Megan Saul Photography,Owner
Mastercard,"Global Customer Marketing Manager, B2B"
Go Brewing,Founder & CEO
Zach Dalin Photography,Owner/Photogra
Paperoute.ai,Product Manager & Co-Founder
Trinity Health (HQ Michigan),Senior Talent Acquisition Partner- Health Care Recruiter / Sourcer
Colibri Group,Vice President Marketing
"ТОВ ""Епіцентр К""",HR Manager
Carl Buddig and Company,Senior Brand Manager - Old Wisconsin & Yumbo
LinkedIn,Sr. Recruiter
Prairie State College,Controller/Director of Business Services
Ashlee Mintz Photography,Owner / Operator
1O8,Founder
ChipIn by Benevolent Impact,CEO | Co-Founder
Self-employed,Fine Art Landscape Photographer | Speaker/Mentor | Advisor to Creative Firms
Apex Fintech Solutions,Head of Global Talent Acquisition
Blue Raven Solar,Residential Solar Consultant
Forte Group,President
InStore.ai,Director of Marketing
Archdiocese of Chicago,Director of Operations
K Curran Consulting,"Founder K Curran Consulting - Experiential, Event, Creative Recruiter"
SKEW Creative,Owner
Key Lime Air ,Sim and Ground Instructor Pilot SA-227DC and AC
EMSS-Medic 681,Paramedic
eBay,Consumer Insights Specialist
Armed Forces of Ukraine,Officer
Openwell,Co-Founder and CEO
EPAM Systems,Project and Operations Manager / Staffing Consultant
Powder,co-founder / CEO
AQAdvertising Inc.,Senior Account Manager
Mazak North America,Midwest Regional General Manager
Mazak North America,"Vice President, Sales and Regional Operations"
The Gund Company,Marketing Specialist (Retired)
Apex Mechanical Systems Inc,Director of Preconstruction
"Mediator, Inc",publisher
Acronis,VP of Design
CoreLogic,Principal Software Engineer
Randall-Reilly,Sales Director - Machine Tools Market
SCREEN Americas,National Technical Support Engineer
,
Rocket Lawyer,Senior Product Manager
DizmeID,Digital Identity Engineer R&D
Brandforma,"CEO, Creative Director"
UCELL,IT Planning and Operation
"КП ""Тернопіль Інтеравіа""",Директор
Ekaras,Executive Vice President
Scotiabank,"Quality Engineering Champion, Canadian Digital Banking"
Motor Songs GmbH,Geschäftsführer
SPN Communications Ukraine,Copywriter
,boss
Mastercam,Sales And Marketing Specialist
Abbott,Controls Engineer
"VHQ Consulting, LLC",Principal
,"переводчик, бард, поэт"
ASTIN IT,Full Stack Developer
Justin Love,Analytical Artist
JTEKT Machinery Americas Corporation,Headquarters Territory Sales Manager
Paylocity,"Senior Manager, Portfolio Marketing"
Upwork,Freelancer PM & Product Manager/ Designer for Web and Mobile.
Castle Automotive Group,Inventory Manager
Lutheran Senior Services,Healthcare Recruiter
Serhiy Prytula Charity Foundation,Partnerships Manager
JTEKT Toyoda Americas Corporation,Aftermarket Support Manager
J. Heyrovský Institute of Physical Chemistry CAS,Postdoc
Blick Art Materials,Senior Demand Planner
"Greenridge Farm, Inc.",Director of Business Development
Green Transition Office,Climate Change and Climate Policy Expert
,
Amazon,ICQA • Problem Solve
Self-Employed,Lawyer
Vistex,Industry Marketing Team Manager
Self Employed,QA Engineer
Private Family,"Executive Personal Assistant, House Manager"
Sayuz LTD,technical manager
Commonwealth Bank,Staff Platform Engineer -  AI Acceleration
Ukrainske Slovo,Owner
Farmers Insurance,Agent/Owner
JTEKT Machinery Americas Corporation,National Product Manager
Lam Research,Additive Manufacturing Design/Process Engineer
The Ukrainians Media,Head of Special Projects
ELEKS,User Experience Designer
Mezha Media,CEO and Editor-in-Chief
Event South Stage Production,Producer
ЛУН,Chief Brand and Business Officer
Rozetka.ua,Product Analyst
Ivan Franko National University of Lviv,Student
Предприниматель,Architect
TraffBand,Full Stack Engineer
Envoy Air,Airline Pilot
ява,яывеа
FMX,Senior Software Developer
Community Information and Referral Services,Information Technology Manager
OnSource Growth Solutions,COO/Founder
Freelance,Разработчик Wordpress
Dumka,"CEO, Team Lead"
JATAPP,Head of Product
JTEKT Machinery Americas Corporation,Executive Assistant To The President
Digital Transformation Activity,Communications Specialist
N-iX,Software Engineer
Pride.Affilate,Chief Executive Officer
ІФТКЕнерго,інженер
Stealth-Mode MilTech (Confidential),Head of Government & International Affairs (MilTech)
Coral travel,Manager
Transwestern,National Director of Client Technology
Self-employed,Freelance Translator
Bitdefender,Marketing & Events Manager
Armed Forces of Ukraine,Rifleman
NDA,SEO / Conversion Rate Optimization (CRO) Specialist
Oro Inc.,Support Manager
Community Healthcare System,Product Line Manager/Operations Manager
Mystro,Cloud Security & DevSecOps Engineer
Matemco,Manager Business Development
Connery AI,Co-Founder
Camunda,Product Design Lead
Armed Forces of Ukraine,Infantry Soldier
Teamvoy - Software Engineers & Consultants,"Chief Technology Officer, Managing Partner"
kCura,QA Analyst
Turbo Stars,VP of Engineering
ФОП,ФОП
Independent Contractor,Business Consultant
Motherson Lumen EU Sp. z o.o.,Design Manager / QMS Representative
Open Social,Senior Drupal Developer
godgiven media,Cinematographer
,my own boss) business owner
Red Thread Innovations,Senior Product Manager
Self-employed,"Marketing, Organizational & Mindset Consultant, Psychologist"
Self-Employed,Executive HR Consultant (Chief People Officer) & Certified Personal Trainer
Technology & Consulting Company – Global IT & Business Solutions,Full Stack Engineer
Webflow,Senior Staff Software Engineer
Advanced Software Development (ASD Ltd),Engineering Manager
Springpod,Solutions Architect & Head of Infrastructure
STRV,Senior QA Analyst
ART Studio YAVNYCH,Photographer & Designer
,
Freelancer,Freelance Photographer
"RLC Labs, Inc.",Chief Science Officer
WordPress,WordPress Developer
Armed Forces of Ukraine,Soldier
Salesforce,Sr. Engagement Delivery Manager
"Traditional Karate Club ""ONAMI""","Traditional Karate  and Kobudo Club ""ONAMI"""
MAI xpose360,Senior SEO Consulant
LLC Canyon Group,Директор
Онлайн-журнал «Хмарочос»,"Co-founder, editor-in-chief"
Reporter UA,own correspondent
Open Media Group,Chief Executive Officer
Ministry of Digital Transformation of Ukraine,Advisor to the Ministry of Digital Transformation of Ukraine on voluntary basis 
Wingle Group Electronics, Graphic Designer
Superhuman,Staff Product Designer
Elkus Manfredi Architects,Senior Interior Designer
EPAM Systems,Senior Performance Analyst
IZOLYATSIA. Platform for cultural initiatives,Director Of Development
DeVry University,financial consultant
CEX.IO,Vice President of Products
Mezha.Media,Wordpress Developer
Good Tech Appliance Services,Company Owner
Independent SEO expert,Independent SEO expert
SDC Verifier,Marketing Manager
Sniper Recruiting Agency,Recruiter
Vasyl Stefanyk Carpathian National University,Teaching Assistant
SAIRS,Owner
ScoutBytes,Сo-Founder
Wise Engineering,Chief Executive Officer
GEN Ukraine,President
Itransition Group,ODOO Department Head
Self-employed,Small Business Owner (online bike shop)
"ТМО ""Нівроку""",Creative Youth Union Nivroku
JPMorgan Chase & Co.,Mortgage Underwriter
Autonova-D,Business Process Automation Specialist / RPA Designer
Datadog,Software Engineer
RFE/RL, -
"WorldWide Language Resources, LLC","Linguist, Ukrainian-English translator"
StopFake,"idea, co-founder"
DataRobot,Developer
,
Ukraine,manager
Meta,Software Engineer
Slovo.dk,"Author, Journalist"
БУБпАК Ахіллес,Сержант
Ukraine,Media Consultant
Stealth Startup (Health-Tech),Founding Designer
Paradise Valley Community College,Faculty
Honeywell,Global Project Sr. Electrical Engineer
Totus KL inc,President
Vrije Universiteit Brussel,Researcher
DeltaWilmar ,Crush & Grain Trading Manager
Backbase,Senior Frontend Developer
Лабораторія,Writer
Dobra Lystivka,Cofounder
Transflot,Owner and CEO
Boosta,Head of Research And Development
CloudNation,Project Manager
"Children’s Center for Language and Culture Development ""Teremok""",Ukrainian Teacher
ResultativeSMM,За главного
Ternopil State Technical University,Assistant and postgraduate student
O0 Design,Product Manager
ICANN,Mrs
N-iX,Software Engineer
Schreder TOV (Ukraine),Lighting Applications Engineer
OphthoQuestions,Lead Developer
Waites,Chief Software Officer
Teachers Pay Teachers,Software Developer
Power Digital Marketing,Senior Software Developer
Environmental Stoneworks,Marketing-Administrative Assistant
B GARAGE,Software Engineer Computer Vision and 3D Mapping
Accenture Song,Software Solutions Architect
Self Inspection,CEO & Founder
Reflaunt,Senior Software Engineer
ATTOM Data Solutions,SaaS Products Manager
Maltego Technologies,Head of Growth
eMagicOne,Developer
SoftServe,Head of Digital Accessibility CoE
Ideals,Engineering Manager
"RLC Labs, Inc.",President & CEO
Ultra Commerce,Chief Engineer - PinnacleCart / Ultra Commerce 
IT Care llc,CEO
Exoft,Senior Software Engineer
Rove.me,Senior Frontend Developer
Шоколадный рай,Owner
,
AidToCivilians,"Co-Founder, volunteer"
OLX Group,Frontend Developer
US Navy,US Navy Chief Information Systems Technician
BitMart,Growth Marketing Manager
Fintech company,Head of Engineering
Databricks,Head of Databricks Labs
Topaz Transport inc,Financial Analyst
